index_x,Date,log_return,index_y,Spread,index,volume
1,2021-01-05,0.016833890994767273,1,0.20721000197677159,1,11120400
2,2021-01-06,0.05854856950427616,2,1.4553384843499002,2,18334300
3,2021-01-07,0.016956429854727208,3,1.9552963467745874,3,13530400
4,2021-01-08,0.0041280776852984655,4,0.2473897629170092,4,12896700
5,2021-01-11,0.010706566772702328,5,1.2838706048915876,5,9077500
6,2021-01-12,-0.0034241374927051313,6,1.122784607917723,6,11831100
7,2021-01-13,-0.0031713225865032356,7,0.284053614089661,7,9852200
8,2021-01-14,0.011971512696818136,8,0.49057227332853875,8,9854300
9,2021-01-15,-0.01621554697868593,9,0.5135799865961789,9,12882600
10,2021-01-19,-0.00332823321418498,10,0.5738706006685232,10,14897700
11,2021-01-20,-0.00200229035305311,11,1.1901883752417168,11,16133000
12,2021-01-21,-0.0018724011881207227,12,0.9260992467212241,12,13591300
13,2021-01-22,-0.007659779667508892,13,0.1601969985769723,13,15460000
14,2021-01-25,-0.0238902914288465,14,0.15731819029470254,14,15933100
15,2021-01-26,-0.016296735051588365,15,0.09518533507013571,15,10899700
16,2021-01-27,-0.03996809234983084,16,0.2908122768625967,16,17002600
17,2021-01-28,0.013068307657506942,17,0.2755722105799553,17,14986200
18,2021-01-29,-0.03329480520264059,18,0.8718449041684739,18,17566100
19,2021-02-01,0.00920426794320083,19,2.6231560427900757,19,11961600
20,2021-02-02,0.04733243740771034,20,1.9834018688638233,20,13893900
21,2021-02-03,-0.004945237707075134,21,1.7085201760518447,21,8014300
22,2021-02-04,0.023655696790672462,22,0.8213563595685018,22,8889400
23,2021-02-05,0.012782804686954261,23,0.6086245604096933,23,8832200
24,2021-02-08,0.013699801989055658,24,0.5681607979481988,24,9018100
25,2021-02-09,0.0001346333504258853,25,0.7723430889746836,25,7429900
26,2021-02-10,0.0012116036680405713,26,0.004857580972325644,26,7465900
27,2021-02-11,-0.00824051401106427,27,0.8531903718108014,27,6972900
28,2021-02-12,0.012000405303717716,28,1.143279801378937,28,7281200
29,2021-02-16,0.019116504169626274,29,0.03726190309828286,29,8550600
30,2021-02-17,-0.007920914067171426,30,0.10029200945501224,30,7807200
31,2021-02-18,-0.008251246204643856,31,0.3084296850326621,31,7155800
32,2021-02-19,0.015514441724537472,32,0.8215951105403041,32,7685300
33,2021-02-22,0.018253460023547833,33,1.9035715325424882,33,11193700
34,2021-02-23,0.0012911360494222526,34,0.8314250825197103,34,12174600
35,2021-02-24,0.0302475378044614,35,0.8103130271645247,35,12681500
36,2021-02-25,-0.01831896304812833,36,0.5692910276666648,36,11674600
37,2021-02-26,-0.020090792024374172,37,0.4794032764124829,37,30392200
38,2021-03-01,0.029355447905223014,38,1.0778072003821078,38,11450000
39,2021-03-02,0.02038203982732031,39,0.48105311114259736,39,11955500
40,2021-03-03,0.015597450438758478,40,0.21884583303990582,40,13053000
41,2021-03-04,-0.011644391655323268,41,1.4750774934024398,41,15809900
42,2021-03-05,-0.0029633045365799146,42,0.2895886527497684,42,16362500
43,2021-03-08,0.0028399812359252378,43,1.3615741030224615,43,10151900
44,2021-03-09,-0.0030873751564294,44,0.6066204627340848,44,11588700
45,2021-03-10,0.02732874645272578,45,0.7852147770591891,45,10775800
46,2021-03-11,0.0019238152576728951,46,0.8540180435826523,46,8951500
47,2021-03-12,0.013008076037070273,47,0.07665662995812554,47,8691300
48,2021-03-15,-0.005707455876786583,48,1.0017998352894268,48,9018400
49,2021-03-16,-0.015865713604478013,49,0.222259076034788,49,9472000
50,2021-03-17,0.01586571360447798,50,0.2044429538378642,50,8049300
51,2021-03-18,0.0009535379697427279,51,1.0509660787058623,51,10227400
52,2021-03-19,-0.011984802736532742,52,0.4875915306783758,52,11557600
53,2021-03-22,-0.012374345314591237,53,1.437624723564067,53,7169900
54,2021-03-23,-0.034777416910868726,54,2.1490894524248314,54,10235500
55,2021-03-24,0.002650668366815544,55,0.7153511866323622,55,8459000
56,2021-03-25,0.010033891118000272,56,0.05030060347103076,56,11363800
57,2021-03-26,-0.0018736361225682476,57,0.4989691178133701,57,11107400
58,2021-03-29,-0.026607500153682854,58,0.19095398053281512,58,21931700
59,2021-03-30,0.015417252991108858,59,1.292305598493884,59,12063000
60,2021-03-31,-0.018246026769069574,60,0.23952756290200847,60,12085500
61,2021-04-01,0.007185013474200247,61,1.0958073121054326,61,13195600
62,2021-04-05,-0.0028165582437992983,62,1.277309878336132,62,10458800
63,2021-04-06,0.013877571538668549,63,0.16261108419530584,63,9445000
64,2021-04-07,-0.0006323332055590336,64,0.48278582703210254,64,8329300
65,2021-04-08,0.014569411797923879,65,1.2201442815452677,65,9352700
66,2021-04-09,0.006462914347413297,66,1.105023773554168,66,10693500
67,2021-04-12,-0.0067122801475439225,67,0.25561664569268505,67,8939700
68,2021-04-13,-0.008139817400414874,68,0.7246271937083174,68,7085200
69,2021-04-14,0.015718913203724146,69,1.8809656361136888,69,10585500
70,2021-04-15,0.00037124905053068964,70,1.1436162429665133,70,9930800
71,2021-04-16,-0.027980037593902534,71,1.8882272015326576,71,29086400
72,2021-04-19,0.018157130845453874,72,1.0994961467566182,72,15151000
73,2021-04-20,-0.03483695616175278,73,0.6173105303513358,73,13052800
74,2021-04-21,0.025042819793257346,74,0.047438541263035636,74,11075900
75,2021-04-22,-0.012187520143515054,75,1.7040208892315747,75,9871700
76,2021-04-23,0.03341174981047501,76,1.5993575594327334,76,12002000
77,2021-04-26,0.0070167053108546335,77,2.1952426324920404,77,8033500
78,2021-04-27,0.005382964465077706,78,0.39737428957206733,78,7057400
79,2021-04-28,0.009351021578788737,79,0.047784752664584325,79,7228200
80,2021-04-29,0.010939533483997241,80,1.272015783683323,80,9974800
81,2021-04-30,-0.01311765992833346,81,0.917520203931226,81,9298600
82,2021-05-03,-0.0010908911586652564,82,0.24710772443840848,82,6759000
83,2021-05-04,0.00218050124964598,83,1.154765748048313,83,8802700
84,2021-05-05,0.022376078408517575,84,0.4046562804478137,84,9424400
85,2021-05-06,0.027082309326132096,85,0.12049519500745291,85,11887900
86,2021-05-07,0.009969659420076852,86,0.12195532401166423,86,9947600
87,2021-05-10,-0.014124317491032518,87,0.21660958887319998,87,9344500
88,2021-05-11,-0.018087931816468197,88,0.24436607509503347,88,10397800
89,2021-05-12,-0.014709611309390675,89,0.6015193006228358,89,12602200
90,2021-05-13,0.014002843003080833,90,0.46285847168479316,90,8639700
91,2021-05-14,0.02892017214487146,91,0.3054727228057918,91,7755900
92,2021-05-17,0.008435958437838153,92,0.17261635458484959,92,7157900
93,2021-05-18,-0.01279573191175731,93,0.14812519715797506,93,6631700
94,2021-05-19,-0.010634687515099507,94,0.15007987214182503,94,10165600
95,2021-05-20,0.004868988966925048,95,0.10278069978643047,95,7722100
96,2021-05-21,0.021395417624256615,96,0.32672998018662913,96,9326800
97,2021-05-24,0.015166342636740748,97,0.20725231246004422,97,7788800
98,2021-05-25,-0.009297202973957155,98,0.6411631947262287,98,10599600
99,2021-05-26,0.005499120151439103,99,0.611608347624612,99,8665200
100,2021-05-27,0.010576269690817661,100,0.38951190861162954,100,21840900
101,2021-05-28,0.00717237719118763,101,1.075534541062187,101,9484800
102,2021-06-01,0.012673650216583156,102,0.0414437560523716,102,9576400
103,2021-06-02,0.007032013790504718,103,0.20337231492673416,103,6878400
104,2021-06-03,0.006340318224965502,104,0.18844826798583897,104,7926800
105,2021-06-04,0.006513296404965393,105,0.2881767142305542,105,6406800
106,2021-06-07,-0.008014147796048355,106,0.0021401307121361873,106,6773800
107,2021-06-08,-0.0045161170191173605,107,0.016694306921468647,107,7036300
108,2021-06-09,-0.001294109392019721,108,0.09700023332096144,108,7811700
109,2021-06-10,-0.010740519544592141,109,1.080985652001064,109,6584900
110,2021-06-11,0.004027684537212951,110,2.077775353299842,110,6509400
111,2021-06-14,-0.014554087397184575,111,1.7133570472861246,111,10163100
112,2021-06-15,-0.00022052996079701157,112,0.8595065015289971,112,7459000
113,2021-06-16,0.00440046404205144,113,1.052151573987901,113,11370300
114,2021-06-17,-0.035644181995848574,114,1.5682132808910363,114,11131600
115,2021-06-18,-0.04442599522564385,115,0.8136981632244615,115,22453900
116,2021-06-21,0.02176179646018712,116,0.5869100896092497,116,10672700
117,2021-06-22,-0.002796616761155763,117,1.1918645205423168,117,9664100
118,2021-06-23,0.0019817666757857275,118,1.0219476450150808,118,7139000
119,2021-06-24,0.013992700723873507,119,1.4537317824456373,119,7953500
120,2021-06-25,0.015044729511054471,120,0.383571176297525,120,11139000
121,2021-06-28,-0.007950122324229049,121,0.13367356029746988,121,6174600
122,2021-06-29,0.03297374540550935,122,0.01223477701515757,122,15413700
123,2021-06-30,0.011517738702602373,123,0.08408108396412244,123,9780300
124,2021-07-01,0.0035925595582898357,124,0.8409037967066898,124,6792200
125,2021-07-02,0.00010868933973463695,125,0.9141293796511738,125,4818000
126,2021-07-06,-0.019974322066876597,126,2.216605351362433,126,6701200
127,2021-07-07,-0.001997340958165045,127,0.3032001703703746,127,6771600
128,2021-07-08,-0.02690542679857465,128,0.18496756046762927,128,8778800
129,2021-07-09,0.03023214366951563,129,0.3060883467027172,129,7306500
130,2021-07-12,0.02643805005506665,130,1.220490127535501,130,11951100
131,2021-07-13,0.0049473007633202655,131,1.5249144719530148,131,12280100
